id,nome,tipo_edificio,coord_X,coord_Y,capienza
3928,Luna Rossa,restaurant,4006437.8400953533,1174716.5569981786,40
3929,Movida,restaurant,4005997.230958249,1174643.4668285965,40
3930,100 montaditos,fast_food,4005818.608287526,1174590.171137784,35
3931,kebabbo,restaurant,4005835.5507151205,1174593.829930462,40
3932,Sacrestia,pub,4005670.134879675,1174542.8295645136,30
3933,La Cantinetta,bar,4005755.3955510636,1174562.8819705728,20
3934,Maya,restaurant,4005972.996026811,1174635.6819284938,40
3935,Myoshi,restaurant,4005862.369636725,1174602.2168674339,40
3936,Fun & Cool,bar,4005772.1931929514,1174570.661040073,20
3937,Ramen House,restaurant,4007023.4426072524,1178559.7188987443,40
3938,Mizuki,restaurant,4006936.5116855577,1178468.5233823091,40
3939,Mare mosso,restaurant,4006903.2054200093,1178437.4944230868,40
3940,La Bracioleria,restaurant,4006884.2784979194,1178615.0706371292,40
3941,Zimé,fast_food,4003999.50302603,1159555.6927410557,35
3942,Cambusa 2.0,pub,4007618.674395137,1171184.729624691,30
3943,Snoopy Bar,bar,4014539.4701742334,1181620.1553076492,20
3944,Pizzeria Naturale,restaurant,4007308.587429774,1174861.9441402885,40
3945,Rosticceria Fontana,fast_food,4007706.624933442,1176150.952010968,35
3946,Il Trancio di Fra,restaurant,4008149.7262191856,1181062.3329991489,40
3947,La piccola Ischia,restaurant,4009323.732258801,1179331.4853741475,40
3948,Sabbia d'oro,restaurant,4006604.4469337403,1174400.4876248194,40
3949,Gusto e Tradizione,fast_food,4010090.490133339,1176312.4955412198,35
3950,Panini Durini,fast_food,4010271.2362778345,1176516.6206080702,35
3951,Macelleria Equina Da Vito,restaurant,4006551.3767612786,1169076.031100009,40
3952,Sisto 3,bar,4007515.4076043353,1175309.609327158,20
3953,Ristorante alla Cava,restaurant,4005285.4952223175,1160329.627936224,40
3954,A Tutta Birra,restaurant,4004418.0707484544,1161059.2014695937,40
3955,Nat&Bio Bistrot,restaurant,4004499.4121105247,1160996.7199775805,40
3956,Ristorante La Bicocca,restaurant,4014132.8855847805,1179405.1962918313,40
3957,Ristorante Cascina Antonietta,restaurant,4003694.287952673,1162192.7852282072,40
3958,La Trattoria La pesa,restaurant,4008970.4254563064,1169413.27879552,40
3959,Mag Cafè,bar,4006410.5522940564,1174168.0906163792,20
3960,Fresco & Cimmino,restaurant,4008765.4016830497,1177169.4731124975,40
3961,Pizzeria Kebab Mamo,fast_food,4009677.10011639,1180116.678689255,35
3962,Gustosa,restaurant,4009659.784006719,1180115.735988579,40
3963,Bar Abruzzi,bar,4009469.37409345,1180101.700068423,20
3964,Tarantella,restaurant,4009387.032958518,1180004.1882646983,40
3965,Mamma Orsa 2,restaurant,4011037.726812477,1179726.8613022757,40
3966,Pizzeria Timavo,restaurant,4013142.863958776,1178718.7691087371,40
3967,La Tavernetta,restaurant,4008597.098251127,1173150.897700099,40
3968,Da Giannino,restaurant,4008645.733164305,1179468.5921123882,40
3969,Bar Castello,bar,4008552.577633319,1175448.5203211938,20
3970,Frank Pummarola,restaurant,4006431.811988849,1174793.7310370146,40
3971,Il Barcone,restaurant,4006414.5832841415,1174761.8886979166,40
3972,Al Politico,fast_food,4008536.9814706184,1175252.9692738398,35
3973,El Beverin,restaurant,4008966.1711762385,1176198.9620688225,40
3974,Cool Morning,bar,4005336.915649441,1174771.2888436967,20
3975,Della Torre,restaurant,4012038.527628675,1181250.3752741376,40
3976,Bistro96,bar,4008359.5689382013,1173453.046836966,20
3977,Il Kaimano,restaurant,4008891.6299066716,1176052.2638206985,40
3978,la Riviera,restaurant,4005523.9164774115,1174024.4799168094,40
3979,Pub,pub,4005485.3546636445,1174084.4969682666,30
3980,L'Angolo,bar,4005473.5930616637,1174159.0725339893,20
3981,Ristorante L'essenziale,restaurant,4009695.4772234876,1175190.1465625302,40
3982,Contraste,restaurant,4005689.7088256045,1174833.06774957,40
3983,Rebelot,restaurant,4006387.46248863,1173970.5642872858,40
3984,Alhambra,restaurant,4009450.8233940746,1178697.641617199,40
3985,Nuhar Cafè,bar,4009531.4592247256,1178678.8210699465,20
3986,"Alla Grande, osteria tradizionale",restaurant,4008658.270100764,1163735.5296909937,40
3987,Losa Cafè,bar,4012961.3423452084,1181211.9784655632,20
3988,Brambilla's,bar,4005833.0217321017,1173005.0396426863,20
3989,L'Isola della Piadina,fast_food,4008104.262826136,1175287.8997633038,35
3990,Joia,restaurant,4009332.602404846,1178102.3460108596,40
3991,Da Regina,restaurant,4007963.655869199,1176319.0525385137,40
3992,Ristorante Galleria,restaurant,4008068.7982470063,1176431.6143622848,40
3993,Cracco in Galleria,restaurant,4007988.7695146697,1176427.572139348,40
3994,Trussardi alla Scala,restaurant,4008212.4343406456,1176355.8288258356,40
3995,Beynac,bar,4006449.4831075734,1174509.1575234549,20
3996,Restaurant,restaurant,4005009.1594420653,1173123.9199848932,40
3997,Bar,bar,4004721.5016588257,1172897.317379338,20
3998,Bar,bar,4004940.6212562434,1171593.5007517284,20
3999,Mimmo Four Seasons,restaurant,4006730.1610436607,1176282.3505627553,40
4000,ONO Sushi Experience,restaurant,4005247.395039434,1167294.5730639976,40
4001,Meeting Cafe,bar,4006195.7441485175,1172723.9110602844,20
4002,Fonderie Milanesi,bar,4006204.543865954,1175535.9127410948,20
4003,TPR,bar,4006236.560157455,1175531.220186405,20
4004,Bar,bar,4006101.2363707987,1175550.399058529,20
4005,Tsuru,restaurant,4006037.3186374814,1174741.9956364755,40
4006,Inkanto,restaurant,4006081.007904794,1174543.147174386,40
4007,Italian Bakery,restaurant,4010340.948898243,1176532.3841114065,40
4008,Musubi,restaurant,4010335.3577974415,1176521.698298484,40
4009,Birreria Al panino 900,pub,4007069.4150467995,1173780.8928965332,30
4010,Ristorante Scilla,restaurant,4007066.208813649,1173766.5323922045,40
4011,Tao 2,restaurant,4004449.136769336,1177405.4312492162,40
4012,Timeout 3,restaurant,4004530.241293203,1177392.771763059,40
4013,dino Cafe,restaurant,4014036.4781366596,1179763.9834626478,40
4014,Heidi,fast_food,4012720.0931683294,1173578.1223499416,35
4015,Rambo,fast_food,4012644.368285988,1173695.7316141091,35
4016,Cream Lounge,bar,4009634.242249725,1174144.1384955195,20
4017,Trippa,restaurant,4006138.4586159587,1178265.1582860472,40
4018,Giada,bar,4006650.74244813,1180180.260980657,20
4019,Bachelite cLab,bar,4006694.1325262417,1180067.014574246,20
