id,nome,tipo_edificio,coord_X,coord_Y,capienza
5671,Park,park,4003080.406764945,1177836.707104468,150
5672,Park,park,4006032.7019432574,1181213.344835348,150
5673,Park,park,4007807.6815087376,1171172.268577078,150
5674,Park,park,4007905.0649223514,1170752.72472164,150
5675,Park,park,4007550.693736881,1170917.5172817486,150
5676,Park,park,4007728.450209025,1170975.1445205482,150
5677,Park,park,4008079.306153158,1169681.9747009515,150
5678,Park,park,4007502.2328915787,1169494.6375727465,150
5679,Park,park,4008039.2748765345,1169561.3303853942,150
5680,Museo Popoli e Culture,museum,4009811.5430908045,1170883.4484252958,50
5681,Park,park,4009234.8375625764,1170891.0078788593,150
5682,Park,park,4009316.9881482567,1171049.4433531046,150
5683,Park,park,4009549.738408818,1171501.1727031164,150
5684,Piazza Esquilino,park,4009939.40985768,1169252.1926983704,150
5685,Park,park,4012601.3816610314,1169131.1975955237,150
5686,Park,park,4012042.6866355245,1171071.5753964672,150
5687,Park,park,4011867.6785521307,1171074.644462982,150
5688,Park,park,4013666.3369672745,1181346.9742787185,150
5689,Park,park,4011138.54177403,1174390.051029032,150
5690,Parco di Via Messina,park,4011190.88620792,1174399.3798041705,150
5691,Piazzale Damiano Chiesa,park,4010749.4502939535,1172320.4596981306,150
5692,Park,park,4005053.954394037,1176288.1943143904,150
5693,Park,park,4005670.273932443,1176784.4470239275,150
5694,Park,park,4003389.354308623,1180399.9886566598,150
5695,Park,park,4003605.8650682243,1181859.2840901327,150
5696,Park,park,4003719.8723622677,1180425.509038616,150
5697,Park,park,4003974.4568138425,1180444.9816381265,150
5698,Park,park,4008788.997979508,1170335.7983766857,150
5699,Park,park,4008313.960628449,1171775.4906870383,150
5700,Piazza Sicilia,park,4008310.825748665,1171698.5633147175,150
5701,Park,park,4008517.3862955584,1172102.3144809727,150
5702,Park,park,4007088.7040998875,1171829.4491457774,150
5703,Giardino Bazzega e Padovani,park,4006856.6714169946,1172242.7913927631,150
5704,Park,park,4004452.5365343415,1174539.4383632618,150
5705,Park,park,4006997.6670894227,1168767.1870260308,150
5706,Park,park,4006708.416429777,1169346.9541917609,150
5707,Park,park,4006404.4182578875,1168306.4003796396,150
5708,Park,park,4006619.2442507567,1168511.3146464983,150
5709,Park,park,4005311.3727111234,1173341.425052879,150
5710,Park,park,4012389.2195202787,1165465.1432410346,150
5711,Park,park,4010700.000701614,1163353.9649323623,150
5712,Parco Emilio Alessandrini,park,4005552.316601263,1180681.9139973084,150
5713,Park,park,4003075.5903691375,1182510.901472951,150
