id,nome,tipo_edificio,lvl_edificio,dipendenti,coord_X,coord_Y
2402,Au Vieux Strasbourg,pub,,5,4008507.642764548,1182176.0358125253
2403,McDonald's,fast_food,,7,4006556.7211629655,1175084.7750009918
2404,Kapuziner,restaurant,,10,4006068.349657992,1174669.1762708991
2405,Stalingrado,pub,,5,4011054.0606086617,1172913.2533942242
2406,Osteria delle Erbe,pub,,5,4013965.312795371,1179732.3944064465
2407,Vigorelli,bar,,3,4010573.643421293,1172637.043016505
2408,My Life Cafè,bar,,3,4010624.0863620276,1173013.8353023485
2409,Restaurant,restaurant,,10,4011061.5395962177,1172827.1068332202
2410,Bar,bar,,3,4010979.104831782,1172881.0264069128
2411,55 Milano,bar,,3,4010941.421743923,1172929.875884879
2412,Restaurant,restaurant,,10,4010824.0504904455,1172982.7603508923
2413,Indrani,restaurant,,10,4010962.128877099,1172829.2648302463
2414,Choco Rock,bar,,3,4010845.8090668335,1173111.3125749247
2415,Restaurant,restaurant,,10,4010853.971263701,1173083.7979671208
2416,L'Angolo,bar,,3,4010922.5124340146,1173311.8401267848
2417,Al Toscanaccio,restaurant,,10,4010750.8025449486,1173223.1154389423
2418,Positano,restaurant,,10,4010874.644806416,1173220.0834104004
2419,Contro Vento,restaurant,,10,4010713.8805397768,1173596.8954860459
2420,Il Caffè di Via Fauche',bar,,3,4010781.051878155,1173522.1917066062
2421,Rong Lai,restaurant,,10,4010490.142379136,1173560.4702496617
2422,La Rosa dei Venti,restaurant,,10,4010626.23859489,1173392.7728602835
