id,nome,tipo_edificio,coord_X,coord_Y,capienza
6897,Adler 1973,clothes,4009999.7949290653,1175886.0188788956,30
6898,Farmacia Garibaldi,pharmacy,4010079.5539932344,1176038.7698299729,10
6899,Tabaccheria Montello,tobacco,4010014.13870182,1175491.2560327544,10
6900,Farmacia Caddeo,pharmacy,4011331.5609340444,1177150.9982530493,10
6901,Pharmacy,pharmacy,4011507.227969382,1176542.2622364075,10
6902,JDC,clothes,4007888.8486342463,1176794.1295110337,30
6903,Gutteridge,clothes,4007852.8453146955,1176873.2149335567,30
6904,Gutteridge,clothes,4008286.1556920954,1175692.9766641536,30
6905,Carrefour Express,supermarket,4006943.0353548634,1176355.490553781,50
6906,OK Sigma,supermarket,4006857.6604931364,1175522.200564506,50
6907,Tobacco,tobacco,4006959.61664393,1175996.5492761966,10
6908,Clothes,clothes,4010867.8394760503,1176606.7781706557,30
6909,Tigotà,supermarket,4010922.8896436514,1177136.8212572364,50
6910,Supermarket,supermarket,4007656.630128923,1180316.082843722,50
6911,Ipercoop,supermarket,4005530.1146798125,1179099.9953114253,50
6912,Tobacco,tobacco,4009701.3126611616,1175941.9336688516,10
6913,Carrefour Express,supermarket,4008078.443116578,1180922.3774481132,50
6914,Auchan,supermarket,4007609.614528925,1175254.0495999053,50
6915,Wait and see,clothes,4007637.1531214667,1175526.9296751174,30
6916,Farmacia dott. Metalla,pharmacy,4005749.232850753,1179024.3586045674,10
6917,Pharmacy,pharmacy,4009375.9111223156,1176829.7797615158,10
6918,Parafarmacia Segrino,pharmacy,4011164.694057099,1176541.233715849,10
6919,Miroglio,clothes,4008273.733367528,1176470.994039397,30
6920,Argonne,pharmacy,4007716.7594594583,1181608.679013488,10
6921,L'elefante conle ghette,clothes,4005840.5882034106,1177841.9811446765,30
6922,Luisa Beccaria,clothes,4008841.748747344,1175932.5833837066,30
6923,L'Angolo del Vizio,tobacco,4009793.0897402163,1182612.215980713,10
6924,Nike Store Porta Nuova,clothes,4010227.7605193327,1176736.9599089092,30
6925,Picard,supermarket,4009948.4105219394,1179779.3529070271,50
6926,7,clothes,4010035.782675671,1179845.6846383594,30
6927,Pharmacy,pharmacy,4009925.285364039,1180260.8319985464,10
6928,Clothes,clothes,4010038.4317831537,1180352.6700793214,30
6929,Agnello,tobacco,4010065.7347666146,1180148.304808244,10
6930,Simply,supermarket,4011687.446688504,1176276.7526586072,50
6931,Tobacco,tobacco,4009011.279010659,1178600.481023322,10
6932,Original Marines,clothes,4009998.065233484,1179762.1716911166,30
6933,Calzedonia,clothes,4010028.4011848867,1179734.984153801,30
6934,Intimissimi,clothes,4010043.2781470963,1179747.4348260984,30
6935,LO,clothes,4010019.2892472795,1179722.8340966268,30
6936,Sandro Ferrone,clothes,4010230.8480787696,1179979.1027866977,30
6937,LumberJack,clothes,4010215.838586129,1179960.8979956878,30
6938,Accessorize,clothes,4007617.0381090767,1175950.2344735304,30
6939,Neglia,clothes,4009271.6993768257,1180416.416756295,30
6940,Farmacia Genova,pharmacy,4007013.8401321853,1174327.8277996148,10
6941,DMagazine Outlet,clothes,4006608.3335538995,1173411.8263585935,30
6942,Esselunga,supermarket,4010280.640146922,1176614.4346321486,50
6943,Allegra Unione,clothes,4010423.693181726,1176343.7143326763,30
6944,u! express,supermarket,4010418.2501932727,1176246.2341197054,50
6945,Tobacco,tobacco,4010480.5302933687,1176321.8145919105,10
6946,Pharmacy,pharmacy,4006256.7074348307,1172862.702996509,10
6947,Calzedonia,clothes,4010420.0806314023,1176263.9248924442,30
6948,Zeling,clothes,4010466.7938713776,1176319.0179630483,30
6949,Biomì,supermarket,4012537.1551827854,1179599.9285959308,50
6950,PAM,supermarket,4009874.4453810495,1181102.6676528472,50
6951,Farmacia Caldarini Roda Dr. Alberto,pharmacy,4009542.1530136284,1182265.9892314,10
6952,Clothes,clothes,4011743.994489296,1182489.6431882551,30
6953,Clothes,clothes,4011790.4234505803,1182506.0777075267,30
6954,Despar,supermarket,4004803.335968376,1171550.972491371,50
6955,U2,supermarket,4008998.589815569,1194042.1970983143,50
6956,Carrefour Express,supermarket,4009073.833779015,1172710.6110178703,50
6957,Il Viaggiator Goloso,supermarket,4009351.51810487,1172556.1860682862,50
6958,Farmacia Comunale,pharmacy,4008548.799642332,1171457.5372799104,10
6959,Parah,clothes,4008538.702262027,1171476.494010016,30
6960,Città Studi,pharmacy,4008407.3946413375,1182290.5246534827,10
6961,lloyds,pharmacy,4005462.734716697,1171748.9872379205,10
6962,Farmacia Dottor Schiavio,pharmacy,4008244.595285839,1174708.5143899154,10
6963,Il Semprevedere,supermarket,4010191.8714082697,1180043.5675241319,50
6964,Boggi,clothes,4010184.1015656544,1179984.8063065195,30
6965,Farmacia Plebisciti,pharmacy,4008004.9646898783,1180108.5752330758,10
6966,Y-3,clothes,4010137.955856556,1176424.886828297,30
6967,Midinette,clothes,4010141.1760704354,1176289.9010219534,30
6968,Anteprima,clothes,4010076.2345958864,1176261.4246595583,30
6969,Mangano,clothes,4010113.772512886,1176278.7022449144,30
6970,Eral 55,clothes,4010006.040279248,1176278.2904095505,30
6971,Boule de Neige,clothes,4010042.39589608,1176292.1302221622,30
6972,Massimo Rebecchi,clothes,4010024.7277365224,1176286.0995187536,30
6973,Massimo Rebecchi,clothes,4010052.008812197,1176295.8867739914,30
6974,Farmacia Rondò,pharmacy,4012134.440462261,1176068.7769124166,10
6975,Farmacia Carnevale,pharmacy,4008972.1578136925,1171930.6559454356,10
6976,Farmacia Tarantino,pharmacy,4006428.8699025707,1174309.910516334,10
6977,Lloyds,pharmacy,4007304.311020655,1181574.4144636884,10
6978,iN's,supermarket,4012026.4166271407,1176564.5663846466,50
6979,Pam,supermarket,4008844.9110185737,1179263.4199688465,50
